gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000058219;1895,599284;0,785805405;0,125641797;38,79546147;4,71E-10;6,31E-09;tubd1
ENSDARG00000077229;608,9820922;1,565956921;0,242193722;38,78988856;4,72E-10;6,33E-09;ano8b
ENSDARG00000018562;7758,435936;0,678327751;0,108713621;38,78040165;4,74E-10;6,35E-09;cope
ENSDARG00000058365;5682,698586;1,152581504;0,183434101;38,76163507;4,79E-10;6,41E-09;hspb8
ENSDARG00000038025;2623,066111;0,633444338;0,101518529;38,75448887;4,81E-10;6,43E-09;cbx7a
ENSDARG00000114861;324,7351099;2,279819147;0,3503834;38,74846622;4,82E-10;6,45E-09;si:dkey-31m5,5
ENSDARG00000053340;875,6253165;1,834298789;0,286583192;38,74468937;4,83E-10;6,46E-09;si:ch211-138g9,3
ENSDARG00000043448;1063,217206;1,283132769;0,203360862;38,7342787;4,86E-10;6,49E-09;itm2ca
ENSDARG00000026904;930,1899352;1,424130112;0,225708834;38,70236921;4,94E-10;6,59E-09;cbln13
ENSDARG00000097580;596,7182926;-1,398179446;0,222088502;38,6991398;4,94E-10;6,60E-09;BX663519,1
ENSDARG00000028295;14614,06704;1,143836776;0,182218791;38,6921408;4,96E-10;6,62E-09;mkrn4
ENSDARG00000070692;2046,881444;1,497985878;0,235293108;38,66312406;5,04E-10;6,72E-09;si:dkey-80c24,1
ENSDARG00000021239;2265,845409;0,66257324;0,106066373;38,63680514;5,10E-10;6,80E-09;apaf1
ENSDARG00000045175;1221,447578;1,092583666;0,174499631;38,61984507;5,15E-10;6,86E-09;pofut2
ENSDARG00000055751;313,7235534;1,144963036;0,182327949;38,600907;5,20E-10;6,92E-09;fosb
ENSDARG00000021582;10636,35382;1,171063835;0,186675351;38,59796044;5,21E-10;6,93E-09;dynlrb1
ENSDARG00000094473;1333,975437;1,321694094;0,210067593;38,59686865;5,21E-10;6,93E-09;si:dkey-163f12,6
ENSDARG00000116389;2678,928427;1,429774445;0,224651339;38,57381033;5,27E-10;7,01E-09;CR450764,17
ENSDARG00000100251;2301,156691;0,703586354;0,11284973;38,5603226;5,31E-10;7,05E-09;si:ch211-152c8,2
ENSDARG00000026941;2478,554921;0,634557502;0,101954378;38,53738052;5,37E-10;7,13E-09;fbxl4
ENSDARG00000017740;8800,45244;0,64894477;0,104243268;38,5018018;5,47E-10;7,26E-09;sec63
ENSDARG00000054949;291,1066188;1,354043578;0,215294352;38,4992503;5,48E-10;7,26E-09;mc2r
ENSDARG00000019417;413,8294394;-1,201087065;0,192003381;38,49607377;5,49E-10;7,27E-09;gadd45ga
ENSDARG00000035564;4321,861674;-0,65849392;0,105590562;38,48872107;5,51E-10;7,30E-09;dgcr8
ENSDARG00000059581;937,4995726;-1,238433755;0,19783679;38,47962758;5,53E-10;7,33E-09;mbd5
ENSDARG00000097591;4145,6663;0,788539402;0,126452782;38,4638177;5,58E-10;7,38E-09;proser3
ENSDARG00000094280;820,2319586;1,286094742;0,205290649;38,43255449;5,67E-10;7,50E-09;usp21
ENSDARG00000100455;1623,515708;0,762298174;0,122060687;38,42016604;5,70E-10;7,54E-09;pnkp
ENSDARG00000026090;851,3504118;0,798759174;0,128369397;38,41109234;5,73E-10;7,57E-09;adprm
ENSDARG00000039123;304,4111584;-1,371931006;0,219661499;38,39105019;5,79E-10;7,65E-09;trim9
ENSDARG00000094380;1840,034882;-0,635509076;0,102240918;38,3677262;5,86E-10;7,73E-09;zzef1
ENSDARG00000106560;1517,383923;0,931355655;0,149609293;38,32303306;6,00E-10;7,91E-09;MCMDC2
ENSDARG00000058578;881,7337889;-0,912369324;0,146835097;38,28333841;6,12E-10;8,07E-09;ccdc106b
ENSDARG00000087844;53,12253581;-2,764049455;0,44439759;38,25307842;6,21E-10;8,19E-09;plekhn1
ENSDARG00000105414;65,79214394;3,393934929;0,511762199;38,24106129;6,25E-10;8,23E-09;zgc:112234
