gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000016811;2555,845076;0,134762698;0,201960554;0,433929414;0,510067117;0,84612279;ints3
ENSDARG00000017199;637,3373685;-0,190804776;0,294487491;0,433551036;0,510251634;0,84612279;elp2
ENSDARG00000017454;5810,689551;0,170662685;0,255575613;0,431164411;0,511418142;0,84612279;nup50
ENSDARG00000018165;1916,57727;-0,20981844;0,316023181;0,432549375;0,510740653;0,84612279;depdc1a
ENSDARG00000028889;2362,057106;0,143103926;0,214549642;0,432843536;0,510596957;0,84612279;ndufb10
ENSDARG00000031981;2006,331271;0,326559057;0,499355627;0,43452393;0,509777433;0,84612279;pcbd1
ENSDARG00000034503;1801,236226;-0,237987231;0,375126339;0,43046349;0,511761608;0,84612279;per2
ENSDARG00000035468;256,4622211;-0,244149118;0,374620886;0,431663639;0,511173753;0,84612279;slc25a25b
ENSDARG00000036965;389,9078816;-0,243171789;0,371688434;0,431445418;0,511280555;0,84612279;rnf24
ENSDARG00000038384;21,27638377;0,620331888;0,956724712;0,430164788;0,5119081;0,84612279;th2
ENSDARG00000040628;18,45197895;-0,897740766;1,256946232;0,432389971;0,51081855;0,84612279;zgc:110333
ENSDARG00000044059;140,1087614;-0,677163779;1,033173633;0,431978441;0,511019751;0,84612279;lft2
ENSDARG00000054458;5479,163034;0,153988085;0,234940712;0,430142717;0,511918928;0,84612279;slmapa
ENSDARG00000054941;43,34295248;-0,377503477;0,591689624;0,430715639;0,511638004;0,84612279;ldlrad4b
ENSDARG00000057138;359,7563138;-0,307624292;0,475353893;0,429638122;0,51216657;0,84612279;zgc:174164
ENSDARG00000057699;1336,007433;0,168815095;0,251489411;0,430445314;0,51177052;0,84612279;styx
ENSDARG00000057884;363,7179893;0,19269581;0,287107005;0,431971752;0,511023022;0,84612279;zgc:114174
ENSDARG00000058492;219,3750325;-0,572118332;0,913515778;0,434302082;0,509885497;0,84612279;si:dkey-30c15,17
ENSDARG00000058930;13,73046244;-0,601357543;0,914508529;0,431109168;0,511445198;0,84612279;si:busm1-52i16,2
ENSDARG00000061498;16,40945027;0,541388884;0,789956191;0,432539088;0,51074568;0,84612279;dusp13a
